Season,Baker,Age,Gender,Image Link
5,KateH,41,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2014/07/KATE-320-370x304.jpg
5,Luis,42,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2014/07/LUIS-320-370x304.jpg
5,Martha,17,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2013/08/MARTHA-320-370x304.jpg
5,Nancy,60,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2014/07/NANCY-320-370x304.jpg
5,Norman,66,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2014/07/NORMAN-320-370x307.jpg
5,Richard,38,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2014/07/RICHARD-320-370x304.jpg
6,Alvin,37,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2015/07/s6_1_450-370x370.jpg
6,Dorret,53,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2015/07/s6_7_450-370x370.jpg
6,Flora,19,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2015/07/s6_8_450-370x370.jpg
6,IanC,41,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2015/07/s6_9_450-370x370.jpg
6,Marie,66,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2015/07/s6_10_450-370x370.jpg
6,Mat,37,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2015/07/s6_11_450-370x370.jpg
6,Nadiya,30,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2015/07/s6_12_450-370x370.jpg
6,Paul,49,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2015/07/s6_6_450-370x370.jpg
6,Sandy,49,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2015/07/s6_5_450-370x370.jpg
6,Stu,35,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2015/07/s6_4_450-1-370x370.jpg
6,Tamal,29,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2015/07/s6_3_450-370x370.jpg
6,Ugnė,32,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2015/07/s6_2_450-370x370.jpg
7,Andrew,25,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/andrew-450x450.jpg
7,Benjamina,23,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/benjamina-450x450.jpg
7,Candice,31,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/candace-450x450.jpg
7,Jane,61,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/jane-450x450.jpg
7,KateB,37,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/kate-450x450.jpg
7,Lee,67,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/lee-450x450.jpg
7,LouiseW,46,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/louise-450x450.jpg
7,MichaelG,20,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/michael-450x450.jpg
7,Rav,28,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/rav-450x450.jpg
7,Selasi,30,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/selasi-450x450.jpg
7,TomG,26,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/tom-450x450.jpg
7,Val,66,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/val-450x450.jpg
8,Chris,50,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Chris-1105_l-450x450.jpg
8,Flo,71,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Flo-1074_l-450x450.jpg
8,JamesH,46,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-James-1045_l-450x450.jpg
8,Julia,21,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Julia-860_l-450x450.jpg
8,KateL,29,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Kate-1135_l-450x450.jpg
8,Liam,19,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Liam-959_l-450x450.jpg
8,PeterA,52,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Peter-1016_l-450x450.jpg
8,Sophie,33,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Sophie-1162_l-450x450.jpg
8,Stacey,42,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Stacey-1201_l-450x450.jpg
8,Steven,34,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Steven-987_l-450x450.jpg
8,TomH,29,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Tom-890_l-450x450.jpg
8,Yan,46,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Yan-928_l-450x450.jpg
9,Antony,30,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-4-370x370.jpg
9,Briony,33,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-5-370x370.jpg
9,DanBH,36,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-7-370x370.jpg
9,Imelda,33,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-2-370x370.jpg
9,Jon,47,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-8-370x370.jpg
9,Karen,60,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-9-370x370.jpg
9,Kim-Joy,27,F,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-6-370x370.jpg
9,Luke,30,M,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2018/08/New-Project-1-370x370.jpg
